id;hs4_id;hs6;label;present;meta;updated_at
70;13;020724;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:35:39.306695"", ""parser_version"": ""v1.3""}";2026-01-20 15:37:46.113580
68;13;020713;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:31:22.243351"", ""parser_version"": ""v1.3""}";2026-01-20 15:32:06.894362
73;13;020727;- - Morceaux et abats, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:38:58.222171"", ""parser_version"": ""v1.3""}";2026-01-20 15:39:47.603014
77;13;020744;- - Autres, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:42:19.556216"", ""parser_version"": ""v1.3""}";2026-01-20 15:42:57.334505
74;13;020742;- - Non découpés en morceaux, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:41:07.234856"", ""parser_version"": ""v1.3""}";2026-01-20 15:42:08.743027
78;13;020745;- - Autres, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:42:15.516015"", ""parser_version"": ""v1.3""}";2026-01-20 15:43:12.350689
75;13;020741;- - Non découpés en morceaux, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:41:03.939287"", ""parser_version"": ""v1.3""}";2026-01-20 15:42:08.857323
76;13;020743;- - Foies gras, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:41:57.614587"", ""parser_version"": ""v1.3""}";2026-01-20 15:42:45.250940
83;13;020755;- - Autres, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:45:11.366330"", ""parser_version"": ""v1.3""}";2026-01-20 15:46:06.132468
79;13;020751;- - Non découpés en morceaux, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:43:10.038494"", ""parser_version"": ""v1.3""}";2026-01-20 15:43:50.725756
